,Title,Date,syu_sentiment,nrc_sentiment,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
1901: An Autobiography: The Story of My Life and Work,An Autobiography: The Story of My Life and Work,1901,0.00018380605376785622,0.0004259408872252927,0.0002325661915174071,0.0003945690607278292,0.000160871716434618,0.0002779085850618046,0.0004637773458234966,0.00027835263428728534,0.00018545175397847525,0.0006260137905617264
"1855: Autobiography of a Fugitive Negro: His Anti-Slavery Labours in the United States, Canada, &amp; Engl","Autobiography of a Fugitive Negro: His Anti-Slavery Labours in the United States, Canada, &amp; England",1855,-2.206335805513781e-05,6.261398271017829e-05,0.0003530628246402511,0.000310821459209446,0.0002694173905731435,0.0004035137994279421,0.00041851586952360286,0.000399087840418753,0.0001419238777888614,0.0005497667898260076
"1881: Autobiography of James L. Smith, Including, Also, Reminiscences of Slave Life, Recollections of the ","Autobiography of James L. Smith, Including, Also, Reminiscences of Slave Life, Recollections of the War, Education of Freedmen, Causes of the Exodus, etc.",1881,-0.00012701375756397928,-0.00010442488198937257,0.0003776116174353463,0.0003685947654944157,0.0002308003534023591,0.0005196742553872192,0.0004235464162020873,0.0004417250375990798,0.0002189877705655418,0.0004559262613194642
"1893: An Autobiography: The Story of the Lord's Dealings with Mrs. Amanda Smith, the Colored Evangelist: C","An Autobiography: The Story of the Lord's Dealings with Mrs. Amanda Smith, the Colored Evangelist: Containing an Account of Her Life Work of Faith, and Her Travels in America, England, Ireland, Scotland, India, and Africa as an Independent Missionary",1893,0.00011927587905343363,0.00023193583045917949,0.00015958332841149692,0.00029759785769181344,0.00012804622630135964,0.0002264508789876809,0.0004105502114591965,0.00023781609411792267,0.0001624710758478222,0.00042848774711815035
"1873: The Autobiography of Nicholas Said, A Native of Bournou, Eastern Soudan, Central Africa","The Autobiography of Nicholas Said, A Native of Bournou, Eastern Soudan, Central Africa",1873,-0.00013805509298756713,-9.674032024241013e-05,0.0005347629615399694,0.0004536915497054265,0.0003654462752905542,0.0006595201823537449,0.0005466303393946904,0.0005877666210917141,0.0002515284696416237,0.0006547908475019047
"1926: Twice Sold, Twice Ransomed: Autobiography of Mr. and Mrs. L. P. Ray","Twice Sold, Twice Ransomed: Autobiography of Mr. and Mrs. L. P. Ray",1926,0.00016673408593537032,0.0003745766566477588,0.0004190565124652504,0.0006913464700539568,0.00035945252703848806,0.0005566833343290898,0.0009078891725297711,0.0005360414302295332,0.00029851514691607296,0.0008867315835989217
1893: From Slave Cabin to the Pulpit. The Autobiography of Rev. Peter Randolph: the Southern Question Illu,From Slave Cabin to the Pulpit. The Autobiography of Rev. Peter Randolph: the Southern Question Illustrated and Sketches of Slave Life,1893,-0.00031764780219470325,-0.0003068868588987654,0.0008507776524541392,0.0005541377081101215,0.0005652848590841645,0.0009711817522252426,0.0006497267225914284,0.0009365140604229767,0.0002849167772119877,0.0009033992708640988
"1903: The History of My Life and Work. Autobiography by Rev. M. L. Latta, A.M., D.D.","The History of My Life and Work. Autobiography by Rev. M. L. Latta, A.M., D.D.",1903,0.00018634574720116192,0.0004861250439403587,0.0003908956556821937,0.00049089999807701,0.00024155044210800013,0.0003990221588300707,0.0006048071356173047,0.00044446176780339215,0.00022215977046247264,0.0009140055674104519
"1912: Autobiography and Work of Bishop M. F. Jamison, D.D. (""Uncle Joe"") Editor, Publisher, and Church Ext","Autobiography and Work of Bishop M. F. Jamison, D.D. (""Uncle Joe"") Editor, Publisher, and Church Extension Secretary; a Narration of His Whole Career from the Cradle to the Bishopric of the Colored M. E. Church in America",1912,4.57207944994537e-05,0.0002611697073485738,0.0003608362306718905,0.0004210121061576855,0.00024376032589607053,0.00036815938621618486,0.0005421437813163993,0.0003652686616017182,0.00018757192232170773,0.0006797422040134769
"1881: An Autobiography of the Rev. Josiah Henson (""Uncle Tom""). From 1789 to 1881. With a Preface by Mrs. ","An Autobiography of the Rev. Josiah Henson (""Uncle Tom""). From 1789 to 1881. With a Preface by Mrs. Harriet Beecher Stowe, and Introductory Notes by George Sturge, S. Morley, Esq., M. P., Wendell Phillips, and John G. Whittier. Edited by John Lobb, F.R.G.S. Revised and Enlarged",1881,-4.366750571162273e-05,7.597689007157645e-05,0.0005515807173927293,0.0005615312602490977,0.00040570776550571356,0.0006837645331804895,0.000711657589924199,0.0006395159817772078,0.0003171952042548105,0.0007523158395080712
