term_str,n,rank,p,i
the,88579,1,0.059634219575971543,4.067715767720792
and,52486,2,0.03533525608399781,4.822747825139598
to,47744,3,0.032142789819654606,4.959361037230054
of,46178,4,0.031088508467912414,5.00747478755584
i,39384,5,0.026514570087493233,5.237070833250423
a,29172,6,0.01963952464433152,5.670096178735407
in,27797,7,0.018713830609436558,5.73975128990322
was,22313,8,0.015021826182262759,6.056795979855697
that,20530,9,0.013821453481013511,6.176946850489328
he,15207,10,0.010237839409925594,6.6099449081746595
it,13765,11,0.009267038829330295,6.753675868002369
for,13240,12,0.008913592016006765,6.809777355790712
my,12538,13,0.0084409831341913,6.888373243049571
had,12029,14,0.00809830803327382,6.948163765181338
as,11845,15,0.007974433340604239,6.970402279357699
me,11131,16,0.007493745674484237,7.060097268882775
not,10199,17,0.006866293426831797,7.186252773363176
with,9931,18,0.006685867244030452,7.224669575874943
his,9554,19,0.006432058770462887,7.280503696014026
is,8959,20,0.006031485715362886,7.373270864597738
they,8947,21,0.006023406931058348,7.375204556442087
at,8503,22,0.005724491911790447,7.448636634923147
but,8325,23,0.005604656611273136,7.479158300639305
on,8243,24,0.005549451585192127,7.493439077959096
we,7860,25,0.005291603719472294,7.562079260339323
have,7815,26,0.0052613082783302765,7.570362699598266
be,7755,27,0.005220914356807588,7.581481791561839
this,7675,28,0.005167055794777335,7.596441822340388
were,7324,29,0.0049307513538696035,7.663976781687955
you,6750,30,0.004544316171302542,7.781721070659737
all,6584,31,0.004432559655089769,7.817644237063667
would,6468,32,0.004354464740145903,7.84328889401163
from,6366,33,0.0042857950735573315,7.866221415849371
by,6357,34,0.004279735985328928,7.868262484391966
him,6286,35,0.004231936511527079,7.884466300686541
one,5847,36,0.003936387652386069,7.988911981506246
so,5698,37,0.0038360760806047237,8.026152951161441
her,5434,38,0.003658342825904891,8.094594007263318
she,5380,39,0.0036219882965344706,8.109002400041305
which,5355,40,0.003605157495900017,8.115721997847674
them,5272,41,0.00354927923779363,8.13825820247724
their,5125,42,0.0034503141300630414,8.179056568205121
there,5024,43,0.003382317695499848,8.207772108593666
when,4738,44,0.003189773336241696,8.292330374245061
said,4724,45,0.0031803480878864017,8.296599608088135
who,4550,46,0.0030632057154706027,8.35074202751187
s,4438,47,0.0029878037286282496,8.38669890528828
are,4241,48,0.002855177019628753,8.452204089888857
or,4228,49,0.002846425003298837,8.45663319610261
if,3904,50,0.002628297827076315,8.571655519922405
will,3841,51,0.002585884209477491,8.595126608954228
been,3826,52,0.0025757857290968186,8.60077169913918
no,3821,53,0.002572419568969928,8.602658315127782
do,3818,54,0.0025703998728937934,8.603791470081354
could,3674,55,0.002473454461239339,8.659256946373944
an,3614,56,0.00243306053971665,8.683012066620693
our,3391,57,0.0022829297980573216,8.774897788459862
some,3370,58,0.0022687919255243803,8.783859981416072
did,3311,59,0.0022290712360270694,8.809341562088292
time,3243,60,0.0021832914583013547,8.839279549029486
what,3243,60,0.0021832914583013547,8.839279549029486
very,3216,62,0.0021651141936161445,8.851341166306364
then,3160,63,0.002127413200194968,8.876684014420826
people,3157,64,0.0021253935041188336,8.878054312172306
out,3116,65,0.002097790991078329,8.896913339423623
man,2941,66,0.001979975386637152,8.980301788598227
up,2887,67,0.0019436208572667318,9.00703746524931
after,2797,68,0.001883029974982698,9.0527283190091
has,2723,69,0.0018332108051047145,9.091411590441496
about,2712,70,0.0018258052528255548,9.097251394348948
more,2526,71,0.0017005840961052182,9.19975393369774
us,2471,72,0.0016635563347094195,9.231513562156508
went,2440,73,0.0016426861419226969,9.249727425035044
any,2403,74,0.001617776556983705,9.271771924355425
go,2386,75,0.0016063316125522764,9.282014529790064
mr,2347,76,0.0015800755635625285,9.305790730962121
lord,2212,77,0.0014891892401364777,9.391257187250584
came,2207,78,0.001485823080009587,9.394521943205678
upon,2201,79,0.001481783687857318,9.398449427593734
now,2188,80,0.001473031671527402,9.406995834692736
can,2185,81,0.0014710119754512674,9.408975293097331
god,2181,82,0.0014683190473497548,9.411618802844542
day,2168,83,0.0014595670310198388,9.420243816131421
made,2160,84,0.0014541811748168135,9.425577260434462
well,2143,85,0.0014427362303853848,9.436976722808744
great,2115,86,0.0014238857336747966,9.45595090947798
how,2091,87,0.0014077281650657209,9.472415510895713
into,2058,88,0.001385511508228242,9.495365590591323
good,2057,89,0.0013848382762028637,9.496066778960358
men,2050,90,0.0013801256520252166,9.500984663092483
these,2050,90,0.0013801256520252166,9.500984663092483
before,2024,92,0.0013626216193653846,9.519399282790982
many,1976,93,0.0013303064821472332,9.554025625900614
two,1962,94,0.001320881233791939,9.564283531266053
told,1943,95,0.001308089825309754,9.578322671899947
see,1939,96,0.0013053968972082414,9.5812957693785
than,1924,97,0.001295298416827569,9.59249977371525
much,1914,98,0.0012885660965737875,9.600017742999267
other,1908,99,0.0012845267044215188,9.604547401479781
work,1895,100,0.0012757746880916027,9.614410724426838
such,1889,101,0.0012717352959393338,9.618985871096923
little,1888,102,0.0012710620639139556,9.619749808123451
never,1881,103,0.0012663494397363085,9.625108723962096
where,1836,104,0.0012360539985942914,9.660042514071485
church,1782,105,0.0011996994692238712,9.70311123596337
first,1759,106,0.0011842151326401735,9.721853090013331
only,1747,107,0.0011761363483356359,9.731728964568532
thought,1706,108,0.0011485338352951314,9.765990926167001
those,1687,109,0.0011357424268129464,9.782148599197727
white,1686,110,0.0011350691947875683,9.78300403654321
your,1684,111,0.001133722730736812,9.784716434418897
get,1670,112,0.001124297482381518,9.796760470123878
most,1668,113,0.0011229510183307617,9.79848928404063
over,1654,114,0.0011135257699754675,9.810649338314018
come,1636,115,0.0011014075935186606,9.826435824543543
nt,1588,116,0.0010690924563005093,9.869397660342335
know,1569,117,0.0010563010478183243,9.886763220517194
old,1564,118,0.0010529348876914335,9.89136806017794
while,1547,119,0.0010414899432600049,9.907135376036257
should,1533,120,0.0010320646949047107,9.920250875826515
got,1527,121,0.0010280253027524417,9.92590851068844
say,1521,122,0.0010239859106001728,9.931588419760796
its,1514,123,0.001019273286422526,9.93824336749956
