term_str,stem,n,rank,p,i,stop,max_pos,n_pos,cat_pos
the,the,88579,1,0.059634219575971543,4.067715767720792,1,DT,3,"{'JJ', 'DT', 'NNP'}"
and,and,52486,2,0.03533525608399781,4.822747825139598,1,CC,4,"{'JJ', 'CC', 'NNP', 'VBP'}"
to,to,47744,3,0.032142789819654606,4.959361037230054,1,TO,5,"{'NNP', 'VBP', 'TO', 'JJ', 'NN'}"
of,of,46178,4,0.031088508467912414,5.00747478755584,1,IN,4,"{'IN', 'NNP', 'RP', 'JJ'}"
i,i,39384,5,0.026514570087493233,5.237070833250423,1,PRP,3,"{'NN', 'NNP', 'PRP'}"
a,a,29172,6,0.01963952464433152,5.670096178735407,1,DT,4,"{'JJ', 'NN', 'DT', 'NNP'}"
in,in,27797,7,0.018713830609436558,5.73975128990322,1,IN,4,"{'IN', 'NN', 'NNP', 'JJ'}"
was,was,22313,8,0.015021826182262759,6.056795979855697,1,VBD,9,"{'VB', 'NNP', 'VBD', 'VBZ', 'WRB', 'JJ', 'IN', 'VBP', 'MD'}"
that,that,20530,9,0.013821453481013511,6.176946850489328,1,IN,8,"{'NNP', 'RB', 'WDT', 'JJ', 'IN', 'NN', 'DT', 'VB'}"
he,he,15207,10,0.010237839409925594,6.6099449081746595,1,PRP,4,"{'JJ', 'NNS', 'NNP', 'PRP'}"
it,it,13765,11,0.009267038829330295,6.753675868002369,1,PRP,8,"{'NNP', 'PRP', 'RB', 'VBN', 'NNS', 'JJ', 'NN', 'VB'}"
for,for,13240,12,0.008913592016006765,6.809777355790712,1,IN,6,"{'NNP', 'VBP', 'NNS', 'JJ', 'IN', 'NN'}"
my,my,12538,13,0.0084409831341913,6.888373243049571,1,PRP$,3,"{'JJ', 'PRP$', 'NNP'}"
had,had,12029,14,0.00809830803327382,6.948163765181338,1,VBD,5,"{'NNP', 'VBD', 'VBN', 'NNS', 'JJ'}"
as,as,11845,15,0.007974433340604239,6.970402279357699,1,IN,3,"{'IN', 'NNP', 'RB'}"
me,me,11131,16,0.007493745674484237,7.060097268882775,1,PRP,10,"{'NNP', 'VBP', 'FW', 'PRP', 'VBN', 'NNS', 'JJ', 'NN', 'JJR', 'VB'}"
not,not,10199,17,0.006866293426831797,7.186252773363176,1,RB,4,"{'JJ', 'NNP', 'IN', 'RB'}"
with,with,9931,18,0.006685867244030452,7.224669575874943,1,IN,5,"{'NNP', 'VBD', 'WRB', 'JJ', 'IN'}"
his,his,9554,19,0.006432058770462887,7.280503696014026,1,PRP$,2,"{'PRP$', 'NNP'}"
is,is,8959,20,0.006031485715362886,7.373270864597738,1,VBZ,4,"{'VB', 'VBZ', 'NNP', 'JJ'}"
they,they,8947,21,0.006023406931058348,7.375204556442087,1,PRP,2,"{'NNP', 'PRP'}"
at,at,8503,22,0.005724491911790447,7.448636634923147,1,IN,2,"{'IN', 'NNP'}"
but,but,8325,23,0.005604656611273136,7.479158300639305,1,CC,2,"{'CC', 'NNP'}"
on,on,8243,24,0.005549451585192127,7.493439077959096,1,IN,6,"{'CC', 'NNP', 'RP', 'RB', 'JJ', 'IN'}"
