term_str,doc_count,T00,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19
abilities,8,1.1563186470923892,2.0500000000225733,0.05,0.05,2.0499999990972984,0.05,0.05,2.9436813527030288,0.05,0.05,0.05,0.05,0.050000000144818986,0.05000000000143927,0.05,0.05,0.05000000088852318,0.05,0.050000000032587935,0.05
ability,77,40.35408682679171,0.05000000004426188,0.05000000192027765,0.05000000080379594,12.089191149805625,0.05000000247686966,0.050000000013357346,10.840238011231781,0.050000001633697444,5.141475374920735,4.921613000510844,0.05000000186797876,8.711938981289885,2.304719790785109,4.060443015676885,1.119216644632477,3.435879390932625,0.05000000117436914,12.571197803338551,0.050000000094987694
abode,13,0.05,0.05000000010943025,0.050000000900222566,0.05,0.050000000149267185,0.05000000005275313,0.05000000088431844,0.05000000004234045,0.05000000009197671,0.050000001133633044,8.692025042867094,0.0500000006363867,5.747932329113052,0.05000000233471133,0.05000000200626503,1.7100426164647158,0.050000000276230555,0.05000000238115702,0.050000000521508665,0.05
abolition,23,0.05000000022392017,0.050000000804621775,0.05000000122895473,0.05,0.05000000029516021,0.05000000000894992,0.050000000269507745,0.05000000005289849,0.05000000019403099,15.073795677011097,10.530932680685353,0.05000000016328383,2.656309975494438,0.05000000020846598,0.05000000029350118,1.0747892976806126,0.05000000000403675,0.050000000282908935,2.9141723650714844,0.05
abolitionism,4,0.05000000004899878,0.05000000005470965,0.0500000001065667,0.05,0.05000000001465336,0.05,0.05,0.05000000013107593,0.050000000035457404,7.049999998887508,0.050000000023333914,0.05,0.05000000008951117,0.05,0.0500000001178791,0.05,0.05000000012481663,0.05,0.05000000036061296,0.05
abolitionist,8,7.429452540992565,0.050000000091350034,0.0500000025610114,0.05,0.05000000093920115,0.05,0.05,4.220776494864095,0.05000000049281383,0.05000000722176201,5.498528361074611,0.05000000105091243,0.05124258484937735,0.05000000041998224,0.05,0.05,0.05000000019443226,0.050000000817506,0.05000000436395656,0.05
abolitionists,23,0.0619578791937382,0.05000000006651705,0.050000000162190104,0.050000000401963965,0.05000000003117981,0.05000000001469609,0.050000000016943554,0.05000000014537563,0.05000000022777347,54.97529625264546,6.756690365859261,0.05000000013233557,0.38514515124481075,0.05000000010382994,0.050000000139470945,0.05,0.0500000001464407,0.05000000022497046,0.0709103492128938,0.05
abomination,6,0.05000000008275824,0.050000000476115754,0.050000002644655164,0.05,0.05,0.05000000064576437,0.05,0.05000000022755825,0.05000000013798195,0.0500000013997835,3.186595116292697,0.050000000539650376,1.2540982667678227,0.05,0.05,1.7093066104221013,0.05,0.05,0.05000000077116482,1.049999999565965
absence,49,7.107470209126367,0.050000000426395845,0.05000000038546402,0.05,0.05000000012869705,0.05000000007176249,0.05000000004605781,4.742467309304414,0.050000001149399204,0.05000000127155544,13.437868870946339,2.8139876908663695,23.56549370461735,4.87302326074057,1.0991545957083142,0.050000001056689565,0.050000000144577034,0.05000000083773396,7.760534353129398,0.05
absent,9,0.05000000051373101,0.050000000204637976,0.0500000001537795,0.05,0.05000000083677518,0.05000000014296449,0.050000000754574815,2.0499999992865328,0.05000000061553693,0.05000000042657434,3.4111149534295415,1.0969380073336585,1.0859176767956589,0.05000000059171387,0.05,0.05,0.05,0.533818970010771,2.122210388856963,0.05
abstinence,8,0.050000000103523366,0.05,0.050000003357653214,0.05,0.05000000098743809,0.05000000112137445,0.050000000141972235,0.05000000091953985,4.643328079319216,0.05000000846746109,0.05000000070290682,0.050000000261901996,4.61430426139008,5.8923676301324655,0.05000000252879276,0.05,0.050000004259295364,0.05000000010871604,0.050000006125908145,0.05
abundance,26,0.05000000046400354,0.05000000025719237,0.05000000113947703,0.050000003108928125,3.8684039883034975,0.050000000154785486,0.05000000076697867,2.1977651290053433,2.1799081752521756,3.7518204771362464,0.05000000118867936,2.2951951568129787,13.327834046733017,0.05000000130421778,0.05000000150261262,0.05000000069654286,0.0500000001542402,0.05000000085421632,6.729073014428575,0.050000000690050075
abuse,17,0.05000000101123136,0.0500000024777118,0.0500000000323734,0.05,0.05000000636122441,0.05000000016356271,0.05000000012236249,1.063201019806053,0.050000000346991015,4.300555148577921,0.05000205843225079,1.3349302358187116,0.05000000041122183,0.05000000020916306,0.05,0.05000000018802496,0.05000000102201198,0.05000000030846175,10.501311524662409,0.05
academies,8,1.9219107707565226,0.05,0.050000000473527886,0.05,0.050000000064319525,0.05,0.05,4.59405754728193,0.05000000013070369,0.05000000036018582,0.050000000120398604,0.05000000679266727,0.05000000082192798,0.05000000040557246,0.05,0.05000000408938368,0.050000000443759754,0.05000000011814707,3.6340316497845473,0.05000001832101487
access,10,0.050000000101067456,0.05000000068711916,0.05,0.05,1.4939418693737951,0.05,0.05,1.0915438488691227,2.429662045724122,0.05000000148568792,2.2335815448845584,0.05,2.3799356431907066,0.05000000079038963,1.0500000001255931,0.6713350426468224,0.05,0.0500000013067143,0.050000000768835116,0.05
accident,25,0.05000000061559449,0.050000000107542936,1.4190771062566039,0.05,0.0500000000759602,0.050000001572686574,0.05000000246083294,1.6462067636798898,6.6414210276298435,0.050000000567238155,6.760231939410167,1.1063545948455238,0.05000000097202702,2.656678938435293,0.05,0.05,0.05000000018000446,7.354183648916903,5.815845974228538,0.05
accommodation,16,7.470259738363744,0.05,0.05000000107678156,0.05,0.0500000002577919,1.370285165521414,0.05000000075386958,1.0500000000090253,0.050000001075604844,1.0686675979475024,0.0500000019608141,0.05000000269726875,8.854539540719392,0.05000000188067522,0.05,0.05,0.05,0.05000000420329902,2.486247943464853,0.05
accommodations,15,8.701422629186279,0.05,0.05,0.05,0.05000000028102952,2.4220612495941065,0.05,0.05000000001351681,0.05000000061473782,0.05000001635066097,0.05000000463216952,0.05,0.9919369238353959,0.05000000052106491,0.05,0.05,0.050000026676281784,1.0826455978298677,4.051933550364815,0.05
accomplishment,11,3.3196715857107124,0.050000000456378174,2.107677582860711,0.05,0.05,0.05000000045659616,0.05,0.050000000262777296,0.05,0.0500000013415353,0.05000000098806111,0.05,4.689246332956009,0.05000000021524142,0.050000000885249536,0.9658949034743399,0.05,0.05,1.16750959036093,0.05
accord,14,0.0500000025311634,0.05000000082847017,0.05000000085011857,0.05,4.868516208359908,0.05000000351143485,0.050000000107455964,2.1352057885073945,0.050000001132024484,0.05000000234865725,0.068902135337273,0.050000000744903676,4.594266915280242,0.050000000575186145,0.050000003057009426,0.050000000536964025,0.050000000489509804,0.05000000094793152,2.730869890776404,0.9022390440182703
accordance,10,0.05000000034614833,0.05000000026343416,0.050000001108872656,0.05,1.1044511037800477,0.05000000012040403,0.05,4.547232846513228,0.05000000116856259,3.4074400981083004,0.05000000061260457,1.3587074946288706,2.832168450324662,0.05000000035651016,0.05,0.05000000055774132,0.05,0.050000000881014146,0.05000000119107391,0.05
account,153,48.70975701624547,2.3591615296077704,0.05000000103856656,3.9940036564176657,17.193994705369917,0.050000003740794,1.4195990804912069,22.26251264584745,8.385756726682843,10.374175049469248,32.20699280256936,8.287526660825458,34.650185231555305,0.050000001008824346,2.6383043048306947,0.05000000009395303,0.050000001721845294,23.23765306865475,52.24201765978323,0.7883598539925649
accounts,20,0.05000000070151691,0.0500000000027879,0.0500000012181287,0.05,0.050000000140100385,3.1795675983440157,0.05,2.3044301618464105,0.050000000264876984,0.05000000012871116,3.409984928769984,0.050000000461730684,4.962316942426596,0.05000000060728924,0.05,1.0500000000358332,0.05000000020348734,0.05000000041515473,11.393700364399905,0.05
accusations,8,0.050000006325938935,0.05,0.05000000692639814,0.05,0.05,0.05000002276181915,0.05,0.050000000019120375,0.050000000062580416,0.05,2.1955624468831996,0.05,1.1036231260084537,0.05000010523812285,0.050000000226118085,0.05,0.05000000276863954,0.050000000982689786,3.939061786515511,0.9617524951979853
accuser,7,0.05000000009741972,0.05,0.05,0.050000038944710064,0.05000000016693003,0.05,0.05,0.0500000024263324,1.28272477239153,0.050000003161498746,0.050000002612043785,4.050000000278003,4.817275225319115,0.05,1.0499999530780475,0.05,0.05,0.05000000034488653,0.050000001124082455,0.05
accusers,6,0.05000001324321385,0.050000000116761534,0.05,0.05,0.05,0.050000048331103865,0.05,3.2407943161631882,0.05000000147297713,1.6365145399834187,5.272691068468931,0.05,0.050000000086525304,0.05,0.05,0.05,0.05000000302512643,0.05000000026975002,0.05000000868208853,0.05
achievement,10,0.050000002594413694,0.05,0.05000000089236117,0.05,0.05000000037950021,0.050000010457087074,0.050000000097865,2.6195545446609527,0.0500000007911513,0.05,0.05000000097759239,0.05,4.880953810886514,0.050000001908088725,0.050000002030596256,0.05,0.05000000004464955,0.05000000050285513,2.6494916237246136,0.05
achievements,17,7.091564475525291,0.05000000005211303,0.05000000159177851,0.05,0.05,1.7404240848129715,0.05,1.056191276308919,0.05,0.050000000064120136,0.050000000087104,0.05,8.311820158939723,0.05,0.05000000168378446,0.05,0.05,0.05000000001478571,0.05000000089576817,0.05
acknowledgment,15,0.05000000107456904,2.5341110635803066,3.5878898181468757,0.05,0.050000000685266215,0.05,0.05,1.3875695151532847,0.050000000005360055,0.05000000129138276,5.425202524689447,0.05000000024155758,0.9807582737170624,0.050000000335561894,0.0500000050501715,0.05,0.050000000014029516,0.05000000192317245,2.384468794042565,0.05
acquaintance,44,4.75805573322579,7.132307689695147,0.050000001117872714,0.05,1.413633907199278,0.05000000012946259,0.05,4.262380128643555,4.382055707355005,0.05000000142277283,6.204301291966625,0.0500000000282723,4.669444225382761,2.4241250678919175,0.05000000309879665,0.05000000366714739,0.05000000056742682,1.531778828633047,26.721917409923076,0.05
acquaintances,17,0.060426220450774705,0.05,0.05000000007917013,0.05,2.2696340723449238,0.05000000010217972,0.05000000010830265,5.913585221205403,0.05000000029443936,0.05000000133136794,0.050000000873718156,0.05000000031305769,0.05000000009965423,0.05000000011824465,0.05,0.05000000774036391,0.7424016960024378,3.6095063696594774,6.70444640922642,0.05
acquisition,10,0.9875007034744349,0.05000000022896772,0.050000002901888115,0.050000001661223016,0.33722777160172474,0.05000000029159338,0.05,5.176236045508104,0.05000000044580124,0.05000000325897333,2.48115014504718,0.05,1.2678853176231824,0.050000000779915565,0.05,0.05,0.05,0.050000000705602295,0.050000006393093835,0.05
acre,12,1.272797252488405,0.05000000009202441,0.050000000239710796,0.050000000198036895,3.5528834576435044,1.030096509102142,0.05000000042732989,0.05000000001344976,0.050000000804446075,0.05000000028452639,0.05000000018108215,1.8524004914507373,0.05000000002792004,0.050000001885112576,0.05,0.05000000092567354,0.05,0.050000001473666796,8.541822282726024,0.05
acres,36,21.30905958675118,0.050000000002176144,0.050000000199910334,0.050000000031509687,2.30920111362787,0.05000000136611826,0.05000000066836627,0.05000000014975762,0.05000000041354721,0.050000000441990114,0.05000000050892838,0.05000000080361067,0.05000000016552708,0.05000000083299593,0.050000000018162565,1.2734149366487988,0.0500000001292213,7.741200160477355,31.617124195332714,0.05000000139837491
act,64,6.83493830172479,2.1883680235943874,4.149331286207713,0.05,0.05000000051182197,4.286221337199891,6.011333900062964,23.07812175410893,5.333677594596006,0.05000000065587099,11.11464393216216,0.050000000808046945,24.908413961029844,1.4146222124705565,1.761606199525016,0.05000000022422857,0.05000468688595823,7.502200308409615,0.050000000839072536,0.06651649893491741
action,59,7.8265605982395305,0.050000000145605863,5.425720945952817,0.05000000003788792,0.050000000888547766,2.641542040262865,0.050000000761001945,6.591626043240327,0.050000000997909695,9.788265553905715,8.996271330218713,0.05000000267943187,15.637323587977493,0.05000000037923371,0.050000000432722555,0.05000000012393605,0.050000000110552514,4.172231995134213,14.370457897000607,0.05000000146340411
actions,24,1.297330105465748,0.05000000004238589,0.05000000095752427,0.9191020716931945,2.0994976370286342,7.640402801461335,0.05000000021807507,3.137231747210063,0.16171481104324437,2.0682705609643155,2.4942716546270898,0.050000003042498825,3.032602074644305,0.05000000000979331,0.05000000085933313,0.05,0.05000000007453418,0.050000001283464664,3.649576528415427,0.05000000090590494
activity,35,4.456815700804062,6.6933266285318975,2.39955708157592,0.05000000013302319,0.050000001111722106,0.050000001570609895,0.05000000000925441,0.05000000008277257,0.05000000029671858,0.050000000353655344,8.082931744843604,0.05000000223809101,6.102165955017703,0.050000000596419125,6.742015488063548,0.05,0.05000000032396679,0.05000000139957994,3.8731873856884156,0.05000000731427681
acts,47,6.939247426856772,2.601851921597838,1.2132410402568556,1.5691619873831486,7.190294672090773,4.116831376211021,0.05000000035141844,10.846957542242514,0.17427672483546686,0.05000000121322401,11.089314508167575,0.0500000001260961,8.662177293888487,0.05000000196637738,0.050000000223439804,1.0500000001634031,0.050000001899585075,0.050000000731028914,3.1466454982939736,0.05000000144844658
addition,53,29.901530026857653,0.050000001733424684,0.05000000152166657,0.05,4.1941081293482325,0.05000000005485878,2.981837909816198,2.99144638128702,0.050000000861216747,0.050000000390487465,0.05000000509576052,0.050000001244889125,2.5437934562680793,5.314149919086369,0.05000000130263923,0.050000000355492014,0.0500000005065433,3.372131021996156,22.101003142224787,0.05
address,64,52.368342947929364,0.05000000050432749,0.050000001501128225,0.050000000002897574,0.050000000313477864,0.05000000113743505,0.050000000028967664,1.5835770443424448,24.103642142168322,0.050000000048681235,0.05000000008047407,0.05000000011015962,1.165712852890142,1.1228695780350975,0.05000000022812919,0.05,0.05000000012481111,0.05000000019834512,194.95585542987826,0.05000000044203005
addresses,29,11.75786619758958,0.05000000023551227,0.05000000103532012,0.05,0.050000000027080584,2.008945510050792,0.05,0.05000000947584495,0.050000000134869146,0.050000000062751564,0.05000000015899372,0.050000000185582434,0.05000000079778386,0.05000000031568002,2.2568007005038737,0.05,0.05,0.0500000001072127,35.176387579266546,0.0500000000294635
adieu,19,0.05000000019996217,2.0500000001247463,0.050000000195852295,0.05000000051674263,0.05000000096655574,0.05000000044077072,0.05000000028544217,2.4570133707508424,0.05000000034751119,0.05000000049130051,10.588450265121523,0.050000000260990766,0.050000002043007565,0.05000000032135348,0.05000000014740261,1.10453635813332,3.0499999984644277,0.050000000640738514,0.05000000043406242,0.050000000081284406
adjoining,8,0.05000000099995622,0.0500000000924716,0.05000000376837097,0.05,0.05000000096477519,0.05,0.05000000047630693,2.013836752770944,0.05000000073455373,0.050000014339713926,0.5284367404315143,0.05000000094790642,0.05000000108520343,0.05000000372664911,0.05,0.05,0.05000000019681944,7.607726472491429,0.050000006879127305,0.05
adjutant,3,0.05,0.05000000008684958,0.05,0.05,0.05,0.05,0.05,9.04999999990972,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
