term_str,stem,n,rank,p,i,stop,max_pos,n_pos,cat_pos,df,idf,tfidf_mean,tfidf_sum,dfidf,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
visit,visit,429,365,0.00028881653888722825,11.757559019985747,0,NN,9,"{'NNP', 'VBP', 'FW', 'VBZ', 'NNS', 'IN', 'JJ', 'NN', 'VB'}",174,1.4396995535131127,0.0004080206220938605,0.19258573362830217,250.5077223112816,0.017318009861699072,-0.013072382788410343,-0.005410028136370639,0.02293238693130414,0.025327250991098043,0.025668784729373367,-0.04812034218686254,-0.007950056459830171,-0.032624074340677545,-0.04219722949783035
hour,hour,313,483,0.00021072162394336234,12.212374010552674,0,NN,1,{'NN'},174,1.4396995535131127,0.00030460881293322263,0.14377535970448108,250.5077223112816,-0.016661935723509325,-0.007655005135347781,0.0023694383911236003,0.008204821164050191,-0.0033254260790389345,-0.025257154681961907,-0.023832289840902243,0.020898337106514314,0.007104485150480844,-0.006805082128724549
open,open,298,505,0.00020062314356269,12.28322433702313,0,JJ,8,"{'NNP', 'VBP', 'VBD', 'RP', 'IN', 'JJ', 'NN', 'VB'}",174,1.4396995535131127,0.0002957452362937485,0.1395917515306493,250.5077223112816,-0.023701380691836915,-0.007732285542618955,0.018475820313388167,-0.0046099778314851875,0.006587534826074937,-0.027603100863402577,-0.008034815785134375,0.02124218903121096,-0.008457193333541516,-0.019544557585616143
ground,ground,287,525,0.00019321759128353033,12.337485930809605,0,NN,5,"{'NNP', 'VBP', 'VBD', 'VBN', 'NN'}",173,1.4480148217251165,0.0003186535427665194,0.15040447218579717,250.50656415844517,-0.014635107897352784,0.011442953042753723,-0.019383547192252687,0.013509675933863319,-0.018033009513067855,0.011424233531979466,0.00880326619365912,0.014495977821282924,-0.003934526242319936,-0.02242991667607616
close,close,315,480,0.00021206808799411865,12.203184839098013,0,NN,7,"{'NNP', 'VBP', 'FW', 'RB', 'JJ', 'NN', 'VB'}",173,1.4480148217251165,0.0002792183654503221,0.13179106849255204,250.50656415844517,-0.013981391088114609,-0.022825587914727774,0.00542447090973322,-0.01645281266883894,0.01842676189458889,-0.007223362059872222,-0.02287383655149139,0.03797660529577956,-0.026378660535190952,-0.010226988153466454
moment,moment,315,480,0.00021206808799411865,12.203184839098013,0,NN,1,{'NN'},173,1.4480148217251165,0.00031068286961087046,0.14664231445633086,250.50656415844517,-0.021590769218205186,0.03385721032348976,0.045043025794368974,-0.007477326515750643,-0.005877064326081843,-0.018974668287103896,-0.02355809469075748,-0.011907267241950618,-0.013514890248866207,-0.009091645362065887
second,second,345,442,0.0002322650487554633,12.07194030581976,0,JJ,5,"{'NNP', 'VBP', 'JJ', 'NN', 'VB'}",175,1.4314319375295124,0.00033547505833798647,0.15834422753552962,250.50058906766466,0.01867188495996316,-0.01598195666706398,0.011477360427345318,0.022916081099866425,-0.03785942900675471,0.01262783707744812,0.002047194120739837,0.05247472805993762,0.005825091365186386,-0.007263831952331767
stand,stand,309,487,0.0002080286958418497,12.230929829580917,0,VB,5,"{'NNP', 'VBP', 'RB', 'VB', 'NN'}",172,1.4563782946597432,0.00028131276372811025,0.13277962447966804,250.49706668147584,-0.02307538813437707,-0.017593997886255,0.009186348728331017,-0.010653045730863675,-0.0001498686234589347,-0.0017364423093156056,-0.012843470499065646,0.01631585181768589,0.010165152500796248,-0.014073505049732829
sure,sure,296,508,0.00019927667951193372,12.292939491856343,0,JJ,5,"{'NNP', 'VBP', 'RB', 'JJ', 'NN'}",172,1.4563782946597432,0.00027600719784828397,0.13027539738439003,250.49706668147584,-0.01623228250979065,-0.020407441607210898,0.0012983268500905698,0.006323540853629128,0.006408635441055965,-0.017690795844885587,-0.022966896794229648,0.009297956426248494,0.0015853425297799317,-0.009110718809292706
happy,happi,304,494,0.00020466253571495895,12.254465344041707,0,JJ,2,"{'JJ', 'NNP'}",172,1.4563782946597432,0.00031772259848273103,0.14996506648384905,250.49706668147584,-0.022488390731430295,-0.016741108593089606,0.012352922805488886,0.0029340192337325433,0.034958365547239384,-0.03283935005042987,0.014910712324961717,0.015652562743952936,0.0005829886162729281,-0.004722361183190674
person,person,310,486,0.00020870192786722787,12.226268452211055,0,NN,2,"{'NN', 'NNP'}",172,1.4563782946597432,0.0003258219326369488,0.15378795220463984,250.49706668147584,0.0023734268421127056,-0.0050380519090162685,0.008711202008927804,0.001574410396230741,0.010716777464179525,-0.006922009639429794,-0.021987084236146842,0.004279732647570919,0.013967671640144758,0.015484354989384164
