term_str,stem,n,rank,p,i,stop,max_pos,n_pos,cat_pos,df,idf,tfidf_mean,tfidf_sum,dfidf,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,nrc_sentiment,syu_sentiment
lord,lord,2212,77,0.0014891892401364777,9.391257187250584,0,NNP,2,"{'NNP', 'NN'}",217,1.1210918169173618,0.0014128520993953045,0.6668661909145838,243.27692427106751,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,
god,god,2181,82,0.0014683190473497548,9.411618802844542,0,NNP,4,"{'NNP', 'VB', 'IN', 'NN'}",328,0.5250910447437576,0.0007930035318141283,0.3742976670162686,172.2298626759525,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,
well,well,2143,85,0.0014427362303853848,9.436976722808744,0,RB,7,"{'NNP', 'UH', 'NN', 'VBP', 'VB', 'RB', 'JJ'}",386,0.2901860120937607,0.000377385870182455,0.17812613072611877,112.01180066819164,,,,,,,,,,,,0.8
great,great,2115,86,0.0014238857336747966,9.45595090947798,0,JJ,3,"{'NNP', 'JJ', 'NN'}",421,0.16496662629544512,0.0002455411379557336,0.11589541711510626,69.4509496703824,,,,,,,,,,,,0.5
good,good,2057,89,0.0013848382762028637,9.496066778960358,0,JJ,4,"{'NNP', 'JJ', 'VB', 'NN'}",399,0.24239811313949539,0.0003253327259278036,0.1535570466379233,96.71684714265866,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.75
work,work,1895,100,0.0012757746880916027,9.614410724426838,0,NN,6,"{'NNP', 'NN', 'VBN', 'VBP', 'VB', 'JJ'}",359,0.3948030155387898,0.0005380788160073363,0.25397320115546274,141.73428257842554,,,,,,,,,,,,0.25
church,church,1782,105,0.0011996994692238712,9.70311123596337,0,NNP,4,"{'NNP', 'JJ', 'VB', 'NN'}",203,1.2173071321766649,0.001396343383210875,0.659074076875533,247.11334783186297,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.1
white,white,1686,110,0.0011350691947875683,9.78300403654321,0,JJ,3,"{'RB', 'NNP', 'JJ'}",329,0.5206992756265998,0.0005885196088596554,0.27778125538175735,171.31006168115132,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.4
like,like,1404,130,0.0009452177636309288,10.047065637180731,0,IN,5,"{'NN', 'VBP', 'IN', 'VB', 'JJ'}",342,0.4647905344759433,0.0004317710142214091,0.2037959187125051,158.9583627907726,,,,,,,,,,,,0.5
found,found,1283,144,0.0008637566885601721,10.17708740239561,0,VBD,7,"{'NNP', 'NN', 'VBN', 'VBD', 'VBP', 'VB', 'JJ'}",372,0.34348423825380986,0.00032406943790916863,0.1529607746931276,127.77613663041727,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.6
